Species,Title,Institution,Study Title,Size (Mb),Library Name,Library Strategy,Library Source,Accession,Link
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: MA2150_226,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,38.2,MA2150_226,RAD-Seq,GENOMIC,SRX7816910,https://www.ncbi.nlm.nih.gov/sra/SRX7816910[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: MA2150_224,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,21.83,MA2150_224,RAD-Seq,GENOMIC,SRX7816909,https://www.ncbi.nlm.nih.gov/sra/SRX7816909[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU4_189,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.11,HU4_189,RAD-Seq,GENOMIC,SRX7816898,https://www.ncbi.nlm.nih.gov/sra/SRX7816898[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU4_188,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,0.1,HU4_188,RAD-Seq,GENOMIC,SRX7816897,https://www.ncbi.nlm.nih.gov/sra/SRX7816897[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU4_187,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,28.6,HU4_187,RAD-Seq,GENOMIC,SRX7816896,https://www.ncbi.nlm.nih.gov/sra/SRX7816896[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU4_186,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,30.89,HU4_186,RAD-Seq,GENOMIC,SRX7816895,https://www.ncbi.nlm.nih.gov/sra/SRX7816895[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU4_185,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,22.82,HU4_185,RAD-Seq,GENOMIC,SRX7816894,https://www.ncbi.nlm.nih.gov/sra/SRX7816894[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU4_184,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,23.63,HU4_184,RAD-Seq,GENOMIC,SRX7816891,https://www.ncbi.nlm.nih.gov/sra/SRX7816891[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU4_183,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,21.12,HU4_183,RAD-Seq,GENOMIC,SRX7816890,https://www.ncbi.nlm.nih.gov/sra/SRX7816890[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU4_182,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,30.98,HU4_182,RAD-Seq,GENOMIC,SRX7816889,https://www.ncbi.nlm.nih.gov/sra/SRX7816889[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1700_046,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,21.06,1700_046,RAD-Seq,GENOMIC,SRX7816877,https://www.ncbi.nlm.nih.gov/sra/SRX7816877[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1700_045,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,31.33,1700_045,RAD-Seq,GENOMIC,SRX7816876,https://www.ncbi.nlm.nih.gov/sra/SRX7816876[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1700_044,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,30.62,1700_044,RAD-Seq,GENOMIC,SRX7816875,https://www.ncbi.nlm.nih.gov/sra/SRX7816875[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1700_043,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,30.88,1700_043,RAD-Seq,GENOMIC,SRX7816874,https://www.ncbi.nlm.nih.gov/sra/SRX7816874[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1700_042,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,36.64,1700_042,RAD-Seq,GENOMIC,SRX7816873,https://www.ncbi.nlm.nih.gov/sra/SRX7816873[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1575_041,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,13.85,1575_041,RAD-Seq,GENOMIC,SRX7816847,https://www.ncbi.nlm.nih.gov/sra/SRX7816847[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU4_181,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,30.42,HU4_181,RAD-Seq,GENOMIC,SRX7816835,https://www.ncbi.nlm.nih.gov/sra/SRX7816835[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU4_180,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,19.66,HU4_180,RAD-Seq,GENOMIC,SRX7816834,https://www.ncbi.nlm.nih.gov/sra/SRX7816834[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU3_114,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,20.53,HU3_114,RAD-Seq,GENOMIC,SRX7816824,https://www.ncbi.nlm.nih.gov/sra/SRX7816824[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU3_113,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,28.12,HU3_113,RAD-Seq,GENOMIC,SRX7816823,https://www.ncbi.nlm.nih.gov/sra/SRX7816823[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU3_112,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,34.52,HU3_112,RAD-Seq,GENOMIC,SRX7816822,https://www.ncbi.nlm.nih.gov/sra/SRX7816822[accn]
