Species,Title,Institution,Study Title,Size (Mb),Library Name,Library Strategy,Library Source,Accession,Link 
Onthophagus taurus,Male Left Posterior Dorsal Head [4M_LP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,535.55,,RNA-Seq,TRANSCRIPTOMIC,SRX6777760,https://www.ncbi.nlm.nih.gov/sra/SRX6777760[accn]
Onthophagus taurus,Male Left Anterior Dorsal Head [4M_LA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,446.49,,RNA-Seq,TRANSCRIPTOMIC,SRX6777759,https://www.ncbi.nlm.nih.gov/sra/SRX6777759[accn]
Onthophagus taurus,Male Right Posterior Dorsal Head [3M_RP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,429.16,,RNA-Seq,TRANSCRIPTOMIC,SRX6777758,https://www.ncbi.nlm.nih.gov/sra/SRX6777758[accn]
Onthophagus taurus,Male Right Anterior Dorsal Head [3M_RA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,444.16,,RNA-Seq,TRANSCRIPTOMIC,SRX6777757,https://www.ncbi.nlm.nih.gov/sra/SRX6777757[accn]
Onthophagus taurus,Male Medial Posterior Dorsal Head [3M_MP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,418.05,,RNA-Seq,TRANSCRIPTOMIC,SRX6777756,https://www.ncbi.nlm.nih.gov/sra/SRX6777756[accn]
Onthophagus taurus,Male Medial Anterior Dorsal Head [3M_MA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,370.21,,RNA-Seq,TRANSCRIPTOMIC,SRX6777755,https://www.ncbi.nlm.nih.gov/sra/SRX6777755[accn]
Onthophagus taurus,Male Left Posterior Dorsal Head [3M_LP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,523.06,,RNA-Seq,TRANSCRIPTOMIC,SRX6777754,https://www.ncbi.nlm.nih.gov/sra/SRX6777754[accn]
Onthophagus taurus,Male Left Anterior Dorsal Head [3M_LA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,396.41,,RNA-Seq,TRANSCRIPTOMIC,SRX6777753,https://www.ncbi.nlm.nih.gov/sra/SRX6777753[accn]
Onthophagus taurus,Male Right Posterior Dorsal Head [2M_RP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,456.64,,RNA-Seq,TRANSCRIPTOMIC,SRX6777752,https://www.ncbi.nlm.nih.gov/sra/SRX6777752[accn]
Onthophagus taurus,Male Right Anterior Dorsal Head [2M_RA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,374.7,,RNA-Seq,TRANSCRIPTOMIC,SRX6777751,https://www.ncbi.nlm.nih.gov/sra/SRX6777751[accn]
Onthophagus taurus,Male Medial Posterior Dorsal Head [2M_MP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,443.43,,RNA-Seq,TRANSCRIPTOMIC,SRX6777750,https://www.ncbi.nlm.nih.gov/sra/SRX6777750[accn]
Onthophagus taurus,Male Medial Anterior Dorsal Head [2M_MA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,408.66,,RNA-Seq,TRANSCRIPTOMIC,SRX6777749,https://www.ncbi.nlm.nih.gov/sra/SRX6777749[accn]
Onthophagus taurus,Male Left Posterior Dorsal Head [2M_LP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,480.52,,RNA-Seq,TRANSCRIPTOMIC,SRX6777748,https://www.ncbi.nlm.nih.gov/sra/SRX6777748[accn]
Onthophagus taurus,Male Left Anterior Dorsal Head [2M_LA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,459.41,,RNA-Seq,TRANSCRIPTOMIC,SRX6777747,https://www.ncbi.nlm.nih.gov/sra/SRX6777747[accn]
Onthophagus taurus,Male Right Posterior Dorsal Head [1M_RP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,391.67,,RNA-Seq,TRANSCRIPTOMIC,SRX6777746,https://www.ncbi.nlm.nih.gov/sra/SRX6777746[accn]
Onthophagus taurus,Male Right Anterior Dorsal Head [1M_RA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,446.87,,RNA-Seq,TRANSCRIPTOMIC,SRX6777745,https://www.ncbi.nlm.nih.gov/sra/SRX6777745[accn]
Onthophagus taurus,Male Medial Posterior Dorsal Head [1M_MP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,416.89,,RNA-Seq,TRANSCRIPTOMIC,SRX6777744,https://www.ncbi.nlm.nih.gov/sra/SRX6777744[accn]
Onthophagus taurus,Male Medial Anterior Dorsal Head [1M_MA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,396.51,,RNA-Seq,TRANSCRIPTOMIC,SRX6777743,https://www.ncbi.nlm.nih.gov/sra/SRX6777743[accn]
Onthophagus taurus,Male Left Posterior Dorsal Head [1M_LP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,381.19,,RNA-Seq,TRANSCRIPTOMIC,SRX6777742,https://www.ncbi.nlm.nih.gov/sra/SRX6777742[accn]
Onthophagus taurus,Male Left Anterior Dorsal Head [1M_LA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,408.68,,RNA-Seq,TRANSCRIPTOMIC,SRX6777741,https://www.ncbi.nlm.nih.gov/sra/SRX6777741[accn]
Onthophagus taurus,Female Right Posterior Dorsal Head [5F_RP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,431.28,,RNA-Seq,TRANSCRIPTOMIC,SRX6777740,https://www.ncbi.nlm.nih.gov/sra/SRX6777740[accn]
Onthophagus taurus,Female Right Anterior Dorsal Head [5F_RA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,464.86,,RNA-Seq,TRANSCRIPTOMIC,SRX6777739,https://www.ncbi.nlm.nih.gov/sra/SRX6777739[accn]
Onthophagus taurus,Female Medial Posterior Dorsal Head [5F_MP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,425.82,,RNA-Seq,TRANSCRIPTOMIC,SRX6777738,https://www.ncbi.nlm.nih.gov/sra/SRX6777738[accn]
Onthophagus taurus,Female Medial Anterior Dorsal Head [5F_MA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,402.08,,RNA-Seq,TRANSCRIPTOMIC,SRX6777737,https://www.ncbi.nlm.nih.gov/sra/SRX6777737[accn]
Onthophagus taurus,Female Left Posterior Dorsal Head [5F_LP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,426.02,,RNA-Seq,TRANSCRIPTOMIC,SRX6777736,https://www.ncbi.nlm.nih.gov/sra/SRX6777736[accn]
Onthophagus taurus,Female Left Anterior Dorsal Head [5F_LA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,509.82,,RNA-Seq,TRANSCRIPTOMIC,SRX6777735,https://www.ncbi.nlm.nih.gov/sra/SRX6777735[accn]
Onthophagus taurus,Female Right Posterior Dorsal Head [4F_RP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,371.03,,RNA-Seq,TRANSCRIPTOMIC,SRX6777734,https://www.ncbi.nlm.nih.gov/sra/SRX6777734[accn]
Onthophagus taurus,Female Right Anterior Dorsal Head [4F_RA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,410.35,,RNA-Seq,TRANSCRIPTOMIC,SRX6777733,https://www.ncbi.nlm.nih.gov/sra/SRX6777733[accn]
Onthophagus taurus,Female Medial Posterior Dorsal Head [4F_MP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,426.46,,RNA-Seq,TRANSCRIPTOMIC,SRX6777732,https://www.ncbi.nlm.nih.gov/sra/SRX6777732[accn]
Onthophagus taurus,Female Medial Anterior Dorsal Head [4F_MA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,490.88,,RNA-Seq,TRANSCRIPTOMIC,SRX6777731,https://www.ncbi.nlm.nih.gov/sra/SRX6777731[accn]
Onthophagus taurus,Female Left Posterior Dorsal Head [4F_LP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,426.26,,RNA-Seq,TRANSCRIPTOMIC,SRX6777730,https://www.ncbi.nlm.nih.gov/sra/SRX6777730[accn]
Onthophagus taurus,Female Left Anterior Dorsal Head [4F_LA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,468.43,,RNA-Seq,TRANSCRIPTOMIC,SRX6777729,https://www.ncbi.nlm.nih.gov/sra/SRX6777729[accn]
Onthophagus taurus,Female Right Posterior Dorsal Head [3F_RP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,504.78,,RNA-Seq,TRANSCRIPTOMIC,SRX6777728,https://www.ncbi.nlm.nih.gov/sra/SRX6777728[accn]
Onthophagus taurus,Female Right Anterior Dorsal Head [3F_RA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,462.48,,RNA-Seq,TRANSCRIPTOMIC,SRX6777727,https://www.ncbi.nlm.nih.gov/sra/SRX6777727[accn]
Onthophagus taurus,Female Medial Posterior Dorsal Head [3F_MP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,462.1,,RNA-Seq,TRANSCRIPTOMIC,SRX6777726,https://www.ncbi.nlm.nih.gov/sra/SRX6777726[accn]
Onthophagus taurus,Female Medial Anterior Dorsal Head [3F_MA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,434.5,,RNA-Seq,TRANSCRIPTOMIC,SRX6777725,https://www.ncbi.nlm.nih.gov/sra/SRX6777725[accn]
Onthophagus taurus,Female Left Posterior Dorsal Head [3F_LP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,425.55,,RNA-Seq,TRANSCRIPTOMIC,SRX6777724,https://www.ncbi.nlm.nih.gov/sra/SRX6777724[accn]
Onthophagus taurus,Female Left Anterior Dorsal Head [3F_LA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,513.48,,RNA-Seq,TRANSCRIPTOMIC,SRX6777723,https://www.ncbi.nlm.nih.gov/sra/SRX6777723[accn]
Onthophagus taurus,Female Right Posterior Dorsal Head [2F_RP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,475.24,,RNA-Seq,TRANSCRIPTOMIC,SRX6777722,https://www.ncbi.nlm.nih.gov/sra/SRX6777722[accn]
Onthophagus taurus,Female Right Anterior Dorsal Head [2F_RA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,429.21,,RNA-Seq,TRANSCRIPTOMIC,SRX6777721,https://www.ncbi.nlm.nih.gov/sra/SRX6777721[accn]
Onthophagus taurus,Female Medial Posterior Dorsal Head [2F_MP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,379.54,,RNA-Seq,TRANSCRIPTOMIC,SRX6777720,https://www.ncbi.nlm.nih.gov/sra/SRX6777720[accn]
Onthophagus taurus,Female Medial Anterior Dorsal Head [2F_MA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,418.84,,RNA-Seq,TRANSCRIPTOMIC,SRX6777719,https://www.ncbi.nlm.nih.gov/sra/SRX6777719[accn]
Onthophagus taurus,Female Left Posterior Dorsal Head [2F_LP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,353.63,,RNA-Seq,TRANSCRIPTOMIC,SRX6777718,https://www.ncbi.nlm.nih.gov/sra/SRX6777718[accn]
Onthophagus taurus,Female Left Anterior Dorsal Head [2F_LA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,391.53,,RNA-Seq,TRANSCRIPTOMIC,SRX6777717,https://www.ncbi.nlm.nih.gov/sra/SRX6777717[accn]
Onthophagus taurus,Female Right Posterior Dorsal Head [1F_RP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,456.97,,RNA-Seq,TRANSCRIPTOMIC,SRX6777716,https://www.ncbi.nlm.nih.gov/sra/SRX6777716[accn]
Onthophagus taurus,Female Right Anterior Dorsal Head [1F_RA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,430.44,,RNA-Seq,TRANSCRIPTOMIC,SRX6777715,https://www.ncbi.nlm.nih.gov/sra/SRX6777715[accn]
Onthophagus taurus,Female Medial Posterior Dorsal Head [1F_MP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,497.87,,RNA-Seq,TRANSCRIPTOMIC,SRX6777714,https://www.ncbi.nlm.nih.gov/sra/SRX6777714[accn]
Onthophagus taurus,Female Medial Anterior Dorsal Head [1F_MA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,417.52,,RNA-Seq,TRANSCRIPTOMIC,SRX6777713,https://www.ncbi.nlm.nih.gov/sra/SRX6777713[accn]
Onthophagus taurus,Female Left Posterior Dorsal Head [1F_LP],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,418.13,,RNA-Seq,TRANSCRIPTOMIC,SRX6777712,https://www.ncbi.nlm.nih.gov/sra/SRX6777712[accn]
Onthophagus taurus,Female Left Anterior Dorsal Head [1F_LA],Indiana University,Exploring the integration of innovation in the dorsal head of Onthophagus beetles using head compartment-specific RNAseq,428.82,,RNA-Seq,TRANSCRIPTOMIC,SRX6777711,https://www.ncbi.nlm.nih.gov/sra/SRX6777711[accn]
Onthophagus taurus,ctrlRNAi_M-GEN_S96,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,202.85,,RNA-Seq,TRANSCRIPTOMIC,SRX2236092,https://www.ncbi.nlm.nih.gov/sra/SRX2236092[accn]
Onthophagus taurus,ctrlRNAi_M-GEN_S95,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,299,,RNA-Seq,TRANSCRIPTOMIC,SRX2236091,https://www.ncbi.nlm.nih.gov/sra/SRX2236091[accn]
Onthophagus taurus,ctrlRNAi_M-GEN_S94,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,356.5,,RNA-Seq,TRANSCRIPTOMIC,SRX2236090,https://www.ncbi.nlm.nih.gov/sra/SRX2236090[accn]
Onthophagus taurus,ctrlRNAi_M-GEN_S93,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,361.02,,RNA-Seq,TRANSCRIPTOMIC,SRX2236089,https://www.ncbi.nlm.nih.gov/sra/SRX2236089[accn]
Onthophagus taurus,ctrlRNAi_M-GEN_S92,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,235.35,,RNA-Seq,TRANSCRIPTOMIC,SRX2236088,https://www.ncbi.nlm.nih.gov/sra/SRX2236088[accn]
Onthophagus taurus,ctrlRNAi_M-GEN_S91,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,434.27,,RNA-Seq,TRANSCRIPTOMIC,SRX2236087,https://www.ncbi.nlm.nih.gov/sra/SRX2236087[accn]
Onthophagus taurus,ctrlRNAi_F-GEN_S90,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,387.47,,RNA-Seq,TRANSCRIPTOMIC,SRX2236086,https://www.ncbi.nlm.nih.gov/sra/SRX2236086[accn]
Onthophagus taurus,ctrlRNAi_F-GEN_S89,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,197.24,,RNA-Seq,TRANSCRIPTOMIC,SRX2236085,https://www.ncbi.nlm.nih.gov/sra/SRX2236085[accn]
Onthophagus taurus,ctrlRNAi_F-GEN_S88,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,365.82,,RNA-Seq,TRANSCRIPTOMIC,SRX2236084,https://www.ncbi.nlm.nih.gov/sra/SRX2236084[accn]
Onthophagus taurus,ctrlRNAi_F-GEN_S87,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,259.36,,RNA-Seq,TRANSCRIPTOMIC,SRX2236083,https://www.ncbi.nlm.nih.gov/sra/SRX2236083[accn]
Onthophagus taurus,ctrlRNAi_F-GEN_S86,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,292.39,,RNA-Seq,TRANSCRIPTOMIC,SRX2236082,https://www.ncbi.nlm.nih.gov/sra/SRX2236082[accn]
Onthophagus taurus,ctrlRNAi_F-GEN_S85,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,212.19,,RNA-Seq,TRANSCRIPTOMIC,SRX2236081,https://www.ncbi.nlm.nih.gov/sra/SRX2236081[accn]
Onthophagus taurus,dsxRNAi_M-GEN_S84,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,358.7,,RNA-Seq,TRANSCRIPTOMIC,SRX2236080,https://www.ncbi.nlm.nih.gov/sra/SRX2236080[accn]
Onthophagus taurus,dsxRNAi_M-GEN_S83,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,306.28,,RNA-Seq,TRANSCRIPTOMIC,SRX2236079,https://www.ncbi.nlm.nih.gov/sra/SRX2236079[accn]
Onthophagus taurus,dsxRNAi_M-GEN_S82,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,485.99,,RNA-Seq,TRANSCRIPTOMIC,SRX2236078,https://www.ncbi.nlm.nih.gov/sra/SRX2236078[accn]
Onthophagus taurus,dsxRNAi_M-GEN_S81,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,290.97,,RNA-Seq,TRANSCRIPTOMIC,SRX2236077,https://www.ncbi.nlm.nih.gov/sra/SRX2236077[accn]
Onthophagus taurus,dsxRNAi_M-GEN_S80,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,234.11,,RNA-Seq,TRANSCRIPTOMIC,SRX2236076,https://www.ncbi.nlm.nih.gov/sra/SRX2236076[accn]
Onthophagus taurus,dsxRNAi_M-GEN_S79,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,258.35,,RNA-Seq,TRANSCRIPTOMIC,SRX2236075,https://www.ncbi.nlm.nih.gov/sra/SRX2236075[accn]
Onthophagus taurus,dsxRNAi_F-GEN_S78,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,290.6,,RNA-Seq,TRANSCRIPTOMIC,SRX2236074,https://www.ncbi.nlm.nih.gov/sra/SRX2236074[accn]
Onthophagus taurus,dsxRNAi_F-GEN_S77,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,372.55,,RNA-Seq,TRANSCRIPTOMIC,SRX2236073,https://www.ncbi.nlm.nih.gov/sra/SRX2236073[accn]
Onthophagus taurus,dsxRNAi_F-GEN_S76,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,301.46,,RNA-Seq,TRANSCRIPTOMIC,SRX2236072,https://www.ncbi.nlm.nih.gov/sra/SRX2236072[accn]
Onthophagus taurus,dsxRNAi_F-GEN_S75,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,250.57,,RNA-Seq,TRANSCRIPTOMIC,SRX2236071,https://www.ncbi.nlm.nih.gov/sra/SRX2236071[accn]
Onthophagus taurus,dsxRNAi_F-GEN_S74,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,383.75,,RNA-Seq,TRANSCRIPTOMIC,SRX2236070,https://www.ncbi.nlm.nih.gov/sra/SRX2236070[accn]
Onthophagus taurus,dsxRNAi_F-GEN_S73,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,231.96,,RNA-Seq,TRANSCRIPTOMIC,SRX2236069,https://www.ncbi.nlm.nih.gov/sra/SRX2236069[accn]
Onthophagus taurus,ctrlRNAi_M-CHE_S72,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,322.82,,RNA-Seq,TRANSCRIPTOMIC,SRX2236068,https://www.ncbi.nlm.nih.gov/sra/SRX2236068[accn]
Onthophagus taurus,ctrlRNAi_M-CHE_S71,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,373.5,,RNA-Seq,TRANSCRIPTOMIC,SRX2236067,https://www.ncbi.nlm.nih.gov/sra/SRX2236067[accn]
Onthophagus taurus,ctrlRNAi_M-CHE_S70,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,254.28,,RNA-Seq,TRANSCRIPTOMIC,SRX2236066,https://www.ncbi.nlm.nih.gov/sra/SRX2236066[accn]
Onthophagus taurus,ctrlRNAi_M-CHE_S69,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,354.19,,RNA-Seq,TRANSCRIPTOMIC,SRX2236065,https://www.ncbi.nlm.nih.gov/sra/SRX2236065[accn]
Onthophagus taurus,ctrlRNAi_M-CHE_S68,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,249.38,,RNA-Seq,TRANSCRIPTOMIC,SRX2236064,https://www.ncbi.nlm.nih.gov/sra/SRX2236064[accn]
Onthophagus taurus,ctrlRNAi_M-CHE_S67,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,245.52,,RNA-Seq,TRANSCRIPTOMIC,SRX2236063,https://www.ncbi.nlm.nih.gov/sra/SRX2236063[accn]
Onthophagus taurus,ctrlRNAi_F-CHE_S66,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,225.79,,RNA-Seq,TRANSCRIPTOMIC,SRX2236062,https://www.ncbi.nlm.nih.gov/sra/SRX2236062[accn]
Onthophagus taurus,ctrlRNAi_F-CHE_S65,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,301.93,,RNA-Seq,TRANSCRIPTOMIC,SRX2236061,https://www.ncbi.nlm.nih.gov/sra/SRX2236061[accn]
Onthophagus taurus,ctrlRNAi_F-CHE_S64,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,406.34,,RNA-Seq,TRANSCRIPTOMIC,SRX2236060,https://www.ncbi.nlm.nih.gov/sra/SRX2236060[accn]
Onthophagus taurus,ctrlRNAi_F-CHE_S63,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,206.57,,RNA-Seq,TRANSCRIPTOMIC,SRX2236059,https://www.ncbi.nlm.nih.gov/sra/SRX2236059[accn]
Onthophagus taurus,ctrlRNAi_F-CHE_S62,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,262.06,,RNA-Seq,TRANSCRIPTOMIC,SRX2236058,https://www.ncbi.nlm.nih.gov/sra/SRX2236058[accn]
Onthophagus taurus,ctrlRNAi_F-CHE_S61,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,219.44,,RNA-Seq,TRANSCRIPTOMIC,SRX2236057,https://www.ncbi.nlm.nih.gov/sra/SRX2236057[accn]
Onthophagus taurus,dsxRNAi_M-CHE_S60,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,398.99,,RNA-Seq,TRANSCRIPTOMIC,SRX2236056,https://www.ncbi.nlm.nih.gov/sra/SRX2236056[accn]
Onthophagus taurus,dsxRNAi_M-CHE_S59,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,431.4,,RNA-Seq,TRANSCRIPTOMIC,SRX2236055,https://www.ncbi.nlm.nih.gov/sra/SRX2236055[accn]
Onthophagus taurus,dsxRNAi_M-CHE_S58,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,267.17,,RNA-Seq,TRANSCRIPTOMIC,SRX2236054,https://www.ncbi.nlm.nih.gov/sra/SRX2236054[accn]
Onthophagus taurus,dsxRNAi_M-CHE_S57,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,244.88,,RNA-Seq,TRANSCRIPTOMIC,SRX2236053,https://www.ncbi.nlm.nih.gov/sra/SRX2236053[accn]
Onthophagus taurus,dsxRNAi_M-CHE_S56,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,303.17,,RNA-Seq,TRANSCRIPTOMIC,SRX2236052,https://www.ncbi.nlm.nih.gov/sra/SRX2236052[accn]
Onthophagus taurus,dsxRNAi_M-CHE_S55,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,252.58,,RNA-Seq,TRANSCRIPTOMIC,SRX2236051,https://www.ncbi.nlm.nih.gov/sra/SRX2236051[accn]
Onthophagus taurus,dsxRNAi_F-CHE_S54,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,279.33,,RNA-Seq,TRANSCRIPTOMIC,SRX2236050,https://www.ncbi.nlm.nih.gov/sra/SRX2236050[accn]
Onthophagus taurus,dsxRNAi_F-CHE_S53,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,270.77,,RNA-Seq,TRANSCRIPTOMIC,SRX2236049,https://www.ncbi.nlm.nih.gov/sra/SRX2236049[accn]
Onthophagus taurus,dsxRNAi_F-CHE_S52,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,368.23,,RNA-Seq,TRANSCRIPTOMIC,SRX2236048,https://www.ncbi.nlm.nih.gov/sra/SRX2236048[accn]
Onthophagus taurus,dsxRNAi_F-CHE_S51,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,382.03,,RNA-Seq,TRANSCRIPTOMIC,SRX2236047,https://www.ncbi.nlm.nih.gov/sra/SRX2236047[accn]
Onthophagus taurus,dsxRNAi_F-CHE_S50,Indiana University,Transcriptomic assessment of interactions between doublesex and its target genes across sexes and tissues in horned beetles,273.22,,RNA-Seq,TRANSCRIPTOMIC,SRX2236046,https://www.ncbi.nlm.nih.gov/sra/SRX2236046[accn]
